refereeAccountId,totalSize,,Previous Change Date,,Current Date,,Activity
13989254,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
14034338,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
14984961,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
15671387,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
16498658,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
16547040,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
16775163,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
17696529,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
19997870,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
20150666,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
20488116,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
21108480,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
23449499,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
24038651,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
25132533,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
25673575,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
27420444,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
27511360,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
27514420,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
27761991,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
27776985,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
27823140,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
28082203,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
28101974,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
28147330,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
29343280,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
29393294,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
30583464,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
32110013,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
34597895,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
35078111,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
39592495,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
41124518,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
44904740,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
45982676,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
50570738,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
54025257,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
56281752,0, ,2022-01-15, ,2022-01-16, ,Active => Active last 1 days before
56481752,0, ,2022-01-16, ,2022-01-16, ,Active Today
